epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.86,3.46262,38.7738,1.27159,0.00435,0.5,0.01143,0.00114,2.28771,18.8058,1.17021,2e-05,2e-05,2e-05
2,241.168,3.83536,40.0442,1.30892,0.00845,0.5,0.03325,0.00796,2.35412,17.2884,1.15531,5.901e-05,5.901e-05,5.901e-05
3,264.07,3.22813,28.388,1.1687,0.10225,1,0.14214,0.05688,2.52244,16.2273,1.16424,9.67e-05,9.67e-05,9.67e-05
4,285.565,2.89556,23.7055,1.03345,0.33555,0.5,0.49813,0.19871,2.63704,14.8476,1.08676,0.00013307,0.00013307,0.00013307
5,303.914,2.90408,18.4656,1.08964,0.91053,0.5,0.49734,0.19894,2.54227,13.9653,1.08551,0.00016812,0.00016812,0.00016812
6,324.96,2.29875,12.9348,0.96472,0.94303,0.5,0.49543,0.19817,2.79163,13.0556,1.34401,0.00020185,0.00020185,0.00020185
7,342.899,2.38607,10.0887,0.96605,0.95601,0.5,0.50705,0.20134,2.49988,13.8044,1.25004,0.00023426,0.00023426,0.00023426
8,361.604,1.29385,20.8391,0.5192,0.12219,0.5,0.11233,0.03143,3.20715,17.5307,1.47325,0.00026535,0.00026535,0.00026535
9,379.351,2.72698,8.84298,1.02744,0.02059,0.5,0.03221,0.0094,3.16818,17.3793,1.48609,0.00029512,0.00029512,0.00029512
10,398.78,2.93912,15.8998,1.18892,0.02796,0.5,0.03644,0.01427,3.09926,15.2568,1.4423,0.00032357,0.00032357,0.00032357
11,417.233,2.05794,5.28584,0.99155,0.02303,0.5,0.03753,0.01484,2.85277,13.0593,1.28625,0.0003507,0.0003507,0.0003507
12,434.712,2.69447,5.21212,1.03016,0.00333,1,0.0796,0.02683,2.78952,13.6359,1.21685,0.00037651,0.00037651,0.00037651
13,452.267,2.92814,6.74607,0.99941,0.0711,0.5,0.12437,0.0464,2.80902,13.5682,1.17166,0.000401,0.000401,0.000401
14,469.903,2.91727,5.38296,1.09585,0.15489,0.5,0.20708,0.07867,2.89411,11.462,1.20468,0.00042417,0.00042417,0.00042417
15,487.358,2.48992,4.30825,1.03253,0.1006,0.5,0.09071,0.03124,3.14418,10.7179,1.31216,0.00044602,0.00044602,0.00044602
16,506.334,2.6782,2.79755,1.00051,0.09734,0.5,0.09204,0.03137,3.24061,11.3618,1.32614,0.00046655,0.00046655,0.00046655
17,523.696,2.21532,4.64756,0.98187,0.04176,0.5,0.05686,0.01357,3.27776,15.5971,1.40873,0.00048576,0.00048576,0.00048576
18,542.262,2.60474,2.83089,0.98556,0.03049,0.5,0.05686,0.01137,3.37304,19.2174,1.5078,0.00050365,0.00050365,0.00050365
